CONTOSO-DC1-TOR-01# show interface counters 

----------------------------------------------------------------------------------
Port                                     InOctets                      InUcastPkts
Eth1/49                                 302712202                         11546092
Eth1/50                                  58793250                         22035258
Eth1/51                                  60355119                         15830437
Eth1/52                                         0                                0
Eth1/53                                         0                                0
Eth1/54                                         0                                0

----------------------------------------------------------------------------------
Port                                  InMcastPkts                      InBcastPkts
----------------------------------------------------------------------------------
Po50                                      1525201                               10
Po101                                   421860571                         49411787
Po102                                    12768255                           358321

----------------------------------------------------------------------------------
Port                                  InMcastPkts                      InBcastPkts
----------------------------------------------------------------------------------
Vlan1                                     --                                --
Vlan6                                     --                                --
Vlan7                                     --                                --
Vlan99                                    --                                --
Vlan125                                   --                                --
Vlan201                                   --                                --
Vlan301                                   --                                --
Vlan401                                   --                                --
Vlan501                                   --                                --
Vlan502                                   --                                --
Vlan503                                   --                                --
Vlan504                                   --                                --
Vlan505                                   --                                --
Vlan506                                   --                                --
Vlan507                                   --                                --
Vlan508                                   --                                --
Vlan509                                   --                                --
Vlan510                                   --                                --
Vlan511                                   --                                --
Vlan512                                   --                                --
Vlan513                                   --                                --
Vlan514                                   --                                --
Vlan515                                   --                                --
Vlan516                                   --                                --
Vlan711                                   --                                --
Vlan712                                   --                                --

----------------------------------------------------------------------------------
Port                                  InMcastPkts                      InBcastPkts
----------------------------------------------------------------------------------
Tunnel1                                        --                               --

----------------------------------------------------------------------------------
Port                                    OutOctets                     OutUcastPkts
----------------------------------------------------------------------------------
mgmt0                                           0                                0

----------------------------------------------------------------------------------
Port                                    OutOctets                     OutUcastPkts
----------------------------------------------------------------------------------
Eth1/1                              3195383643785                       2314463086
Eth1/2                               565759281659                        488751519
Eth1/3                              2239970939906                       2008042725
Eth1/4                               845365235683                        906291961
Eth1/5                               482005987635                        494690571
Eth1/6                               492428718967                       1085624291
Eth1/7                              1708795368513                       1285331175
Eth1/8                               811441767431                        633169480
Eth1/9                              1097919047899                        895245977
Eth1/10                              601050903176                        551702205
Eth1/11                            12712725113730                       9360082484
Eth1/12                             1868530008033                       1547885524
Eth1/13                              958415193940                       1235638077
Eth1/14                              404672740507                        560303942
Eth1/15                             1197289959116                       1201427282
Eth1/16                              864939391336                       1058779559
Eth1/17                            22080761990946                      26090792420
Eth1/18                            14475109084586                      19798639673
Eth1/19                            15346854704725                      19863120409
Eth1/20                            15498724658108                      20373999728
Eth1/21                           105536056124156                     106369265180
Eth1/22                            89187110421559                      92696146660
Eth1/23                             8568461761922                      10551314789
Eth1/24                             8951570104029                      10906412551
Eth1/25                            10912576176168                      13250641968
Eth1/26                             6998841909447                      10177344089
Eth1/27                            24320803221264                      35515110217
Eth1/28                            63278944443177                      69641350521
Eth1/29                             5095780391460                       6593171948
Eth1/30                             5052966771954                       6489480008
Eth1/31                            13676570428741                      15917306802
Eth1/32                             8927082691346                      11911772123
Eth1/33                                         0                                0
Eth1/34                                         0                                0
Eth1/35                                         0                                0
Eth1/36                                         0                                0
Eth1/37                                         0                                0
Eth1/38                                         0                                0
Eth1/39                                         0                                0
Eth1/40                                         0                                0
Eth1/41                                2510966564                         23653950
Eth1/42                                 293676878                              569
Eth1/43                                      2452                                4
Eth1/44                            14442846374309                      11385209302
Eth1/45                                      2452                                4
Eth1/46                                      2452                                4
Eth1/47                              970219252214                       2491863413
Eth1/48                              968353709815                       2477910955
Eth1/49                             1102886538454                       3536076627
Eth1/50                              912828940095                       1970231420
Eth1/51                             1272827834631                       2191216695
Eth1/52                                         0                                0
Eth1/53                                         0                                0
Eth1/54                                         0                                0

----------------------------------------------------------------------------------
Port                                    OutOctets                     OutUcastPkts
----------------------------------------------------------------------------------
Po50                                   2804643442                         23654519
Po101                               3288543313180                       7697524742
Po102                              14442846374309                      11385209302

----------------------------------------------------------------------------------
Port                                    OutOctets                     OutUcastPkts
----------------------------------------------------------------------------------
Vlan1                                           0                                0
Vlan6                                           0                                0
Vlan7                                           0                                0
Vlan99                                          0                                0
Vlan125                                         0                                0
Vlan201                                         0                                0
Vlan301                                         0                                0
Vlan401                                         0                                0
Vlan501                                         0                                0
Vlan502                                         0                                0
Vlan503                                         0                                0
Vlan504                                         0                                0
Vlan505                                         0                                0
Vlan506                                         0                                0
Vlan507                                         0                                0
Vlan508                                         0                                0
Vlan509                                         0                                0
Vlan510                                         0                                0
Vlan511                                         0                                0
Vlan512                                         0                                0
Vlan513                                         0                                0
Vlan514                                         0                                0
Vlan515                                         0                                0
Vlan516                                         0                                0
Vlan711                                         0                                0
Vlan712                                         0                                0

----------------------------------------------------------------------------------
Port                                    OutOctets                     OutUcastPkts
----------------------------------------------------------------------------------
Tunnel1                                         0                                0

----------------------------------------------------------------------------------
Port                                 OutMcastPkts                     OutBcastPkts
----------------------------------------------------------------------------------
mgmt0                                           0                                0

----------------------------------------------------------------------------------
Port                                 OutMcastPkts                     OutBcastPkts
----------------------------------------------------------------------------------
Eth1/1                                  365931965                         53571839
Eth1/2                                  366238357                         53360933
Eth1/3                                  365873814                         52979267
Eth1/4                                  366372919                         53304878
Eth1/5                                  366269045                         53573143
Eth1/6                                  366161076                         50724612
Eth1/7                                  366100625                         53579924
Eth1/8                                  366300836                         53499914
Eth1/9                                  366196748                         53608137
Eth1/10                                 366286564                         53465476
Eth1/11                                 364627694                         53256502
Eth1/12                                 366347102                         53592761
Eth1/13                                 366153342                         53337242
Eth1/14                                 366253535                         53082035
Eth1/15                                 365624389                         52367491
Eth1/16                                 366075021                         52364462
Eth1/17                                   9371988                          5170429
Eth1/18                                   9248374                          4972704
Eth1/19                                  13480407                          7895695
Eth1/20                                  12544093                          6979663
Eth1/21                                  13531125                          8050383
Eth1/22                                  12093264                          5814410
Eth1/23                                  13140445                          7750243
Eth1/24                                  13342660                          7894074
Eth1/25                                   8567633                          6357592
Eth1/26                                   8279996                          6154905
Eth1/27                                  13112133                          8017328
Eth1/28                                  13361369                          7767641
Eth1/29                                  10233218                          6452477
Eth1/30                                   9763649                          6044546
Eth1/31                                  13212157                          7235037
Eth1/32                                  13398312                          7498904
Eth1/33                                         0                                0
Eth1/34                                         0                                0
Eth1/35                                         0                                0
Eth1/36                                         0                                0
Eth1/37                                         0                                0
Eth1/38                                         0                                0
Eth1/39                                         0                                0
Eth1/40                                         0                                0
Eth1/41                                    762596                               11
Eth1/42                                    762597                                3
Eth1/43                                         0                                0
Eth1/44                                  19928029                              100
Eth1/45                                         0                                0
Eth1/46                                         0                                0
Eth1/47                                    762589                               11
Eth1/48                                    762548                                9
Eth1/49                                 298259368                          1355535
Eth1/50                                  69118286                          6880248
Eth1/51                                  62715625                          5306432
Eth1/52                                         0                                0
Eth1/53                                         0                                0
Eth1/54                                         0                                0

----------------------------------------------------------------------------------
Port                                 OutMcastPkts                     OutBcastPkts
----------------------------------------------------------------------------------
Po50                                      1525193                               14
Po101                                   430093279                         13542215
Po102                                    19928029                              100

----------------------------------------------------------------------------------
Port                                 OutMcastPkts                     OutBcastPkts
----------------------------------------------------------------------------------
Vlan1                                     --                                --
Vlan6                                     --                                --
Vlan7                                     --                                --
Vlan99                                    --                                --
Vlan125                                   --                                --
Vlan201                                   --                                --
Vlan301                                   --                                --
Vlan401                                   --                                --
Vlan501                                   --                                --
Vlan502                                   --                                --
Vlan503                                   --                                --
Vlan504                                   --                                --
Vlan505                                   --                                --
Vlan506                                   --                                --
Vlan507                                   --                                --
Vlan508                                   --                                --
Vlan509                                   --                                --
Vlan510                                   --                                --
Vlan511                                   --                                --
Vlan512                                   --                                --
Vlan513                                   --                                --
Vlan514                                   --                                --
Vlan515                                   --                                --
Vlan516                                   --                                --
Vlan711                                   --                                --
Vlan712                                   --                                --

----------------------------------------------------------------------------------
Port                                 OutMcastPkts                     OutBcastPkts
----------------------------------------------------------------------------------
Tunnel1                                        --                               --
