
CPU Statistics of Unit 1
========================
CPUID       5Sec(%)     1Min(%)     5Min(%)
-------------------------------------------
Overall     48.74       46.95       31.67

PID         Process           Runtime(s)      5sec(%)      1min(%)      5min(%)
2875150     .clish            9               97.15        14.95        3.19
1907        base_nas          5707867         17.5         17.5         17.5
2875153     sshd              8               1.45         0.22         0.05
1550        dn_xstp           5707869         1.1          1.1          1.1
2364        netconfd-pro      5707857         1.1          1.1          1.1
75          kipmi0            5707882         0.6          0.6          0.6
1547        dn_sm             5707869         0.6          0.6          0.6
1533        dn_l2_services_   5707870         0.5          0.5          0.5
1519        dn_app_timesync   5707870         0.4          0.4          0.4
1284        dn_pas_svc        5707876         0.3          0.3          0.3
1681        dn_lldp           5707869         0.3          0.3          0.3
1218        dn_pm             5707876         0.2          0.2          0.2
